,phrases,labels
365,polycrystalline diamond,Material
366,polishing cloth,Material
367,diamond,Material
368,custom-made jig,Material
369,polisher,Material
370,coupons,Material
371,automated polishing,Process
372,Coupons,Material
373,polished,Process
374,diamond suspension,Process
375,diamond,Material
376,2-propanol,Material
377,2-propanol,Material
378,ultrasonic bath,Material
379,polishing,Process
380,diamond suspension,Material
381,coupons,Material
382,2-propanol,Material
383,propanol,Material
384,cleaning,Process
385,coupons,Material
386,2-propanol,Material
387,oxidation,Process
388,Ti-based alloys,Material
389,alloys,Material
390,understand the role that composition has on the oxidation behavior of Ti-based alloys,Task
391,oxidation,Process
392,Ti-based alloys,Material
393,Ti-based alloys,Material
394,alloys,Material
395,oxidation,Process
396,β-21S,Material
397,alloys with substantially improved oxidation resistance,Material
398,development of coatings and pre-oxidation techniques,Task
399,coatings,Material
400,pre-oxidation techniques,Process
401,oxidation,Process
402,oxygen,Material
403,oxidation,Process
404,oxide,Process
405,surface,Material
406,surface area,Material
407,oxide,Material
408,SEM images,Material
409,oxidation,Process
410,surface profile,Material
411,profile,Material
412,images,Material
413,surface area,Material
414,sample,Material
415,oxide,Material
416,oxide,Material
417,oxide,Material
418,surface,Material
419,oxide,Material
420,surface,Material
421,oxide,Material
422,surface area,Material
423,samples,Material
424,oxides,Material
425,oxidation,Process
426,video images,Material
427,2D pits,Material
428,anodic current,Material
429,pit,Material
430,Al,Material
431,Al alloy,Material
432,Ni–Fe [35] thin films,Material
433,pits,Material
434,2D disks,Material
435,stainless steel thin films,Material
436,pit edge,Material
437,pit growth,Process
438,pit,Material
439,2D pit propagation,Task
440,2D pit,Material
441,1D pencil electrodes,Material
442,semi-quantitative model,Process
443,pit propagation,Task
444,measured the kinetics of 2D pit propagation,Process
445,lacy pit cover formation,Process
446,lacy pit cover,Material
447,pit,Material
448,pit,Material
449,Fe-Co thin films,Material
450,pits,Material
451,current,Process
452,pit growth,Process
453,pit,Material
454,Anodizing processes,Process
455,protecting aluminium alloys,Task
456,extend from the film surface,Process
457,growth stopped in the early stages of anodizing,Process
458,ionic migration,Task
459,outward migrating Al3+ ions,Material
460,ejected,Process
461,growth of the barrier layer by continued oxidation,Process
462,thinning of the barrier layer by either field-assisted dissolution,Process
463,field-assisted flow of alumina,Process
464,chemical dissolution,Process
465,corrosion,Process
466,resultant films,Material
467,amorphous alumina,Material
468,major pores,Material
469,film,Material
470,film surface,Material
471,barrier layer,Material
472,film surface,Material
473,incipient pores,Material
474,major pores,Material
475,anodizing,Process
476,anodic alumina films,Material
477,O2− ions,Material
478,porous films,Material
479,ionic current,Material
480,electrolyte,Material
481,pore bases,Material
482,film,Material
483,aluminium substrate,Material
484,oxidation,Material
485,barrier layer,Material
486,barrier layer,Material
487,alumina,Material
488,pore bases,Material
489,alumina,Material
490,barrier layer,Material
491,pore walls,Material
492,pores,Material
493,film surface,Material
494,barrier region,Material
495,structural components,Material
496,Failure of structural components,Process
497,IGSCC,Process
498,intergranular stress corrosion cracking,Process
499,Stress corrosion cracking,Process
500,SCC,Process
501,Alloy 600,Material
502,"74% Ni, 16% Cr and 8% Fe",Material
503,stainless steels,Material
504,Pressurised Water Reactors,Material
505,PWR,Material
506,Stress corrosion cracking,Process
507,pressurized water reactors,Material
508,PWSCC,Material
509,Alloy 600,Material
510,steam generator tubes,Material
511,heater sleeves,Material
512,pressurized instrument penetrations,Material
513,control rod drive mechanisms,Material
514,SCC,Material
515,alloy,Material
516,plant,Material
517,safer designs of future nuclear reactors,Task
518,nuclear reactors,Material
519,safety critical components,Material
520,model of the smallest thicknesses,Process
521,build a model of the smallest thicknesses,Task
522,sample,Material
523,partitioning the inspection data,Process
524,inspection data,Material
525,equally sized blocks,Material
526,block,Material
527,sample,Material
528,model which takes into account the variations of the smallest thickness measurements,Process
529,Extreme value analysis,Process
530,EVA,Process
531,generalized extreme value distribution,Process
532,GEVD,Process
533,thermodynamics of copper-zinc alloys (brass),Task
534,excess enthalpy and excess entropy of mixing,Process
535,enthalpic data,Material
536,solution calorimetry,Process
537,chemical potential data,Material
538,phase equilibrium experiments,Process
539,excess entropy of mixing,Task
540,vibrational and the configurational parts,Task
541,measuring the low temperature heat capacity (5 to 300K) versus composition behaviour,Process
542,excess configurational entropy,Task
543,neutron scattering investigations,Process
544,computer simulations,Process
545,reliable data of the total excess entropy,Material
546,separate the entropic effects,Task
547,deliver experimental data,Task
548,Brass,Material
549,brass,Material
550,copper-zinc alloys,Material
551,Smmechmix=XASmA+XBSmB,Material
552,enthalpic and chemical potential data,Material
553,measurement of the excess vibrational entropy,Process
554,determination of the excess configurational entropy,Process
555,subtraction,Process
556,experimental data,Material
557,disordered alloy,Material
558,modelling of plasmas of arbitrary degeneracy,Task
559,binary collision approximation,Process
560,numerical interpolation,Process
561,Pauli blocking,Process
562,Fermi–Dirac distribution,Process
563,plasma theory,Task
564,Monte Carlo code,Process
565,strong coupling limit,Task
566,collisional plasmas,Material
567,Monte Carlo techniques,Process
568,transport in semi-conductors,Task
569,fully-ionised plasmas,Material
570,Coulomb logarithm,Process
571,simulation particles,Material
572,collisions,Process
573,coupling,Process
574,plasmas,Material
575,numerical oscillations,Process
576,ISPM,Process
577,classical IBM kernels,Process
578,Lagrangian description,Process
579,oscillations,Material
580,kernel interpolation functions,Process
581,new family of kernel functions,Task
582,do not introduce these spurious oscillations,Task
583,oscillations,Material
584,kernel functions,Process
585,Cartesian staggered grids,Process
586,oscillations,Material
587,Maple computer program,Material
588,obtain explicit expressions for the new kernels,Task
589,new kernels,Process
590,cumulative averaging technique,Process
591,reduce noise,Task
592,micro element,Material
593,spatially-oriented bins,Material
594,resolve the velocity and shear-stress profiles,Task
595,bin,Material
596,Cumulative Averaging Method,Process
597,CAM,Process
598,stress tensor field,Process
599,Irving–Kirkwood relationship,Process
600,least-squares polynomial fit,Process
601,reduce noise,Process
602,continuous function,Process
603,avoids stability issues,Process
604,highly fluctuating data,Material
605,macro solver,Material
606,least-squares fit,Process
607,Nth order polynomial,Material
608,Mth order polynomial,Material
609,polynomials,Material
610,core micro region,Material
611,constrained region,Material
612,coefficients,Material
613,core region,Material
614,macro solution,Material
615,compressed wall micro-element solution,Material
616,bulk-mean concentration,Process
617,B,Material
618,water,Material
619,chemical reaction,Process
620,degradation,Process
621,B,Material
622,acidification,Process
623,water,Material
624,chemical reaction,Process
625,bulk-mean concentration,Material
626,B,Material
627,chemical reaction,Process
628,bulk-mean concentration,Material
629,CB⁎¯,Material
630,bulk-mean concentration,Process
631,B,Material
632,chemical reaction,Process
633,A,Material
634,chemical reaction,Process
635,turbulent mixing,Process
636,water,Material
637,chemical reaction,Process
638,chemical reaction,Process
639,water flow,Process
640,water,Material
641,water,Material
642,extensive investigation on the efficiency of the aquarium chemical reaction,Task
643,aquarium chemical reaction,Process
644,establish practical modelling for the gas exchange between air and water,Task
645,practical modelling,Process
646,gas exchange,Process
647,air,Material
648,water,Material
649,conventional continuum fluid dynamics,Task
650,Numerical simulation,Task
651,Numerical simulation of the gas flow,Process
652,molecular collisions,Process
653,direct simulation Monte Carlo method,Process
654,internal-flow applications,Task
655,thermodynamic equilibrium,Task
656,channel height,Material
657,high-aspect ratio,Process
658,DSMC,Process
659,DSMC,Process
660,formidable multiscale problem,Task
661,gas,Material
662,parametrisation of the surface elements,Process
663,mesh refinement,Process
664,higher solution polynomial orders,Task
665,reduces the geometric error,Task
666,coarse curvilinear mesh,Material
667,P,Material
668,Pg,Material
669,solution,Material
670,true surface,Material
671,geometric approximation,Process
672,cardiac problem,Task
673,high-order discretisation,Process
674,mesh,Material
675,meshes,Material
676,solution,Material
677,solution,Material
678,surface,Material
679,true surface,Material
680,solution,Material
681,analyse problems that involve rarefied gas flows in complex micro geometries,Task
682,Numerical simulation,Process
683,Conventional continuum fluid dynamics,Process
684,CFD,Process
685,particle method,Process
686,direct simulation Monte Carlo,Process
687,DSMC,Process
688,particle method,Process
689,microfluidic devices,Material
690,microfluidic devices,Material
691,rarefied gas flows,Material
692,gas flow,Material
693,CFD,Process
694,collection of interacting particles,Material
695,flow of a rarefied gas,Material
696,high-aspect-ratio micro geometries,Material
697,"long, relative to their cross section",Material
698,small deviations from equilibrium,Material
699,extremely low Mach numbers and weak temperature gradients,Material
700,numerical scheme,Process
701,Galerkin finite element method,Process
702,multi-term time fractional diffusion equation,Task
703,multiple Caputo fractional derivatives in time,Process
704,Galerkin scheme,Process
705,fully discrete scheme,Process
706,finite difference discretization of the Caputo fractional derivatives,Process
707,numerical experiments,Process
708,one- and two-dimension,Process
709,empirical convergence rates,Material
710,new regularity results,Material
711,light propagation in a scattering medium with piece-wise constant refractive index,Task
712,radiative transport equation,Process
713,RTE,Process
714,coupled system of RTEs,Process
715,FEM,Process
716,simulations,Process
717,solution of the Monte Carlo method,Material
718,RTE,Process
719,Monte Carlo method,Material
720,image reconstruction procedure,Process
721,DOT reconstructions,Process
722,Fresnel reflection and transmission phenomenas,Process
723,refractive index changes,Process
724,validity of semi-classical boundary conditions,Task
725,non-uniqueness and the symmetry properties of the Wigner function,Process
726,numerical test cases,Material
727,symmetric potentials,Material
728,steady state Wigner functions,Process
729,Other recent studies,Material
730,convergence of the WTE calculations,Task
731,increasing the size of the simulation domain,Process
732,adapting the boundary distribution,Process
733,employ inflow/outflow boundary conditions,Process
734,present simulations only for non-zero bias voltages,Task
735,accurate and physically valid results,Task
736,multiscale systems comprising an arbitrary number of coupled models,Task
737,multi-physics description of a multiscale system,Process
738,‘hybrid’ model,Process
739,hybrid,Process
740,molecular treatment,Process
741,‘micro’ model,Process
742,continuum-fluid one,Process
743,macro’ model,Process
744,micro and macro models,Process
745,time-stepping method for coupled systems,Process
746,continuous asynchronous,Process
747,CA,Process
748,micro and macro models,Process
749,scale-separated,Process
750,physical (as distinct from numerical) approximation,Process
751,fluid,Material
752,obtaining the accuracy of the former with the efficiency of the latter,Task
753,fluid dynamics,Task
754,coupled models,Process
755,coupled models,Process
756,phase field model,Task
757,three dimensional thermal phase field model,Process
758,two dimensional thermal-solutal phase field model,Process
759,time derivatives of the three fields coupled to forms involving variational derivatives,Process
760,functional,Process
761,free energy functional,Process
762,numerical schemes,Process
763,PDEs,Material
764,dendrite,Material
765,dendrite,Material
766,melt,Material
767,theory of active polar viscous gels,Task
768,"models the continuum, macroscopic mechanics",Process
769,polar viscous gels,Material
770,uniaxial active agents,Material
771,viscous bulk medium,Material
772,uniaxial polar agents,Material
773,gel,Material
774,polar viscous gels,Material
775,"energy consuming, anisotropic, non-Newtonian fluid",Material
776,active polar viscous gels,Material
777,polarization field,Process
778,polarization field,Process
779,equation of motion,Process
780,constitutive equation,Process
781,continuum hydrodynamic description,Process
782,"These equations, along with conservation of momentum",Process
783,cortical cytoskeleton flows,Process
784,biological morphogenesis,Process
785,fluid,Material
786,boundary element method,Process
787,shape optimisation of high-voltage devices,Task
788,BEM,Process
789,BEM,Process
790,surface discretisation,Process
791,shape optimisation,Process
792,BEM,Process
793,solving problems in unbounded domains,Task
794,electrostatic field analysis,Process
795,gradient-based shape optimisation,Task
796,shape derivative,Process
797,adjoint approach,Process
798,primary and the adjoint boundary value problems,Task
799,fast multipole method,Process
800,Bernoulli-type free-boundary problems,Task
801,fast BEM in shape optimisation,Task
802,BEM,Process
803,BEM,Process
804,BEM,Process
805,extrapolation of the upwind value,Task
806,Darwish and Moukalled,Process
807,implicit extrapolation,Process
808,method introduced by Ubbink and Issa,Process
809,explicit extrapolation,Process
810,virtual upwind node is incorporated in the gradient ratio rf,Process
811,explicit extrapolation,Process
812,unstructured meshes,Material
813,data readily available on unstructured meshes,Material
814,"equidistant, rectilinear meshes",Material
815,non-rectilinear meshes,Material
816,non-equidistant,Material
817,TVD differencing,Process
818,"collocation formulation, especially given the presence of a diagonal mass matrix",Task
819,couple a set of quadrature points with an equal number of nodal Lagrange polynomials,Process
820,collocation method,Process
821,Galerkin,Process
822,CG,Process
823,discontinuous Galerkin,Process
824,DG,Process
825,flux reconstruction,Process
826,newer extensions,Process
827,FR,Process
828,collocation methods,Process
829,linear operators,Material
830,phase-space discretisation,Task
831,Garden Sprinkler Effect,Task
832,ray effect,Task
833,spatial domain (4000km×4000km) is simulated,Process
834,spatial discretisation,Process
835,structured triangle mesh,Process
836,wave field,Material
837,simulation,Process
838,Gaussian distribution in space,Material
839,spurious separation of energy into the discretised bins,Process
840,monochromatic wave,Material
841,deep water,Material
842,wave,Material
843,Multi-phase flows,Task
844,liquid jet breakup,Process
845,mixing,Process
846,Air entrainment,Task
847,two-phase interface problems,Task
848,distorted and interconnected,Process
849,gas-assisted injection moulding,Process
850,phases are mixed,Process
851,oil–water homogenisation,Process
852,sediment transport,Process
853,interface problems,Process
854,environmental and industrial processes,Process
855,wave breaking,Process
856,air,Material
857,water,Material
858,mesh-based methods,Process
859,re-meshing,Process
860,phase tracking functions,Process
861,discretization of the advection–diffusion equation,Task
862,dispersion and diffusion eigencurves,Task
863,Galerkin method,Process
864,wave-like solutions,Material
865,linear advection,Material
866,inviscid case,Material
867,viscous case,Material
868,derivation of the semi-discrete advection–diffusion problem,Process
869,defect migration pathways,Task
870,low energy cascades in Pu and PuGa,Material
871,channelling events,Material
872,energetic atoms travel deep into the lattice through channels of low atomic density,Material
873,cascade event,Process
874,Ga atoms,Material
875,Ga,Material
876,collision cascade,Process
877,simulations,Material
878,W net erosion,Task
879,W gross erosion,Task
880,estimated upstream W fluxes,Process
881,experimentally observed values,Material
882,hitting to the divertor plates,Process
883,increasing energy,Process
884,ionized,Process
885,return,Process
886,observed prompt redeposition,Task
887,near-divertor” ionization,Process
888,large Larmor radius,Process
889,friction with the main ions,Process
890,D and C ions,Material
891,FWupstrem,Process
892,W,Material
893,W fluxes,Material
894,W,Material
895,divertor plasma,Material
896,W,Material
897,W atoms,Material
898,D,Material
899,W ions,Material
900,C,Material
901,W+n ions,Material
902,W sputtering,Process
903,ionization,Process
904,divertor plates,Material
905,W ions,Material
906,divertor,Material
907,plates,Material
908,divertor,Material
909,ionization,Process
910,displacement cascade,Task
911,structure,Material
912,defects,Material
913,voids,Material
914,dislocation loops,Material
915,swelling,Material
916,diffusion,Process
917,migration of vacancies and SIAs,Process
918,ODS particle,Material
919,grain,Material
920,grain,Material
921,UO2–PuO2 phase boundaries,Task
922,simulation,Process
923,laser pulse,Process
924,post-melting material characterisation,Process
925,small segregation effects,Task
926,PuO2,Material
927,liquid surface,Material
928,plutonium dioxide,Material
929,liquid,Material
930,PuO2,Material
931,enriched in plutonium dioxide,Process
932,cooling,Process
933,solidification,Process
934,liquid,Material
935,surface solid crust,Material
936,freezing,Process
937,liquid,Material
938,cooling,Process
939,solidification,Process
940,sample surface,Material
941,liquid,Material
942,solidification,Process
943,vapour pressure of carbon,Task
944,vapour phase,Material
945,number of different gases,Material
946,data taken from JANAF tables,Material
947,partial pressure,Material
948,silicon,Material
949,carbon,Material
950,vapour,Material
951,silicon,Material
952,solid phase,Process
953,carbon,Material
954,carbon,Material
955,carbon,Material
956,SiC grains,Material
957,TRISO particle,Material
958,gaseous carbon,Material
959,graphite,Material
960,SiC,Material
961,precipitate on the surface of the SiC grains,Process
962,carbon,Material
963,gas,Material
964,SiC,Material
965,biaxial compressive and triaxial tensile stress states,Task
966,second stress state,Task
967,tri-axial tensile stress,Task
968,Finite element analysis,Process
969,"simulated by applying tensile stress in direction 1, 2 and 3",Task
970,advancing crack tip,Material
971,oxide layer,Material
972,metal–oxide interface,Material
973,cracks,Material
974,localised tensile stresses,Material
975,manufactured partially stabilised zirconia,Material
976,manufactured stabilized zirconia,Material
977,applied tensile stresses,Process
978,metal–oxide interface,Material
979,tetragonal to monoclinic phase transformation,Process
980,oxide,Material
981,de-bonding,Process
982,triaxial tensile stress,Process
983,tetragonal phase,Process
984,fracture,Process
985,applying tensile stress,Process
986,maximum stress,Process
987,split interstitial” type clusters,Task
988,potential-based methods,Process
989,Willis type clusters,Material
990,potential based investigation,Process
991,di-interstitial,Material
992,a single VO with three Oi,Material
993,split interstitial clusters,Material
994,tri-interstitials,Material
995,di-interstitial with the fourth Oi site occupied,Material
996,quad-interstitials,Material
997,two di-interstitials on adjacent sites,Material
998,model for U4O9,Material
999,multiple split quad-interstitial clusters,Material
1000,LSDA+U,Process
1001,LSDA+U,Process
1002,UO2 supercell,Material
1003,VO,Material
1004,VO,Material
1005,Oi,Material
1006,UO2 supercell,Material
1007,quad-interstitial,Material
1008,cuboctahedral,Material
1009,formation energy,Task
1010,Monte Carlo algorithm,Process
1011,Metropolis MC scheme,Process
1012,conjugate gradient algorithm,Process
1013,minimised,Process
1014,iterative process,Process
1015,box,Material
1016,Fe lattice,Material
1017,voids without helium,Material
1018,simulation cell,Material
1019,conjugate gradient algorithm,Process
1020,total system energy,Material
1021,helium atoms,Material
1022,low energy configurations,Material
1023,single vacancy formation energy,Material
1024,Evac,Material
1025,minimised,Process
1026,determine the lowest energy configuration,Process
1027,He–He interactions,Process
1028,He,Material
1029,He,Material
1030,helium,Material
1031,structure and composition of the particles,Material
1032,oxide dispersion strengthened,Material
1033,ODS,Material
1034,nanostructured,Material
1035,ferritic alloys,Material
1036,ferritic alloys,Material
1037,dispersion of ultra-fine oxide particles throughout the matrix,Material
1038,oxide particles,Material
1039,oxide particles,Material
1040,oxide particles,Material
1041,ODS steels,Material
1042,9 and 14at.% Cr,Material
1043,W,Material
1044,Y2O3,Material
1045,Ti,Material
1046,balance,Material
1047,Fe and impurities,Material
1048,improve the mechanical properties of the system,Task
1049,class of steels,Material
1050,14YWT,Material
1051,steels,Material
1052,solid solution,Material
1053,non-ODS steels,Material
1054,nano-scale He bubbles,Material
1055,improve radiation tolerance,Task
1056,radiation,Process
1057,irradiation,Process
